,symbol
3918679,A
5119083,AA
3923691,AAL
2272191,AAN
0,AAOI
1554,AAON
6567,AAT
8798,AAWW
2277204,AAXN
3927246,ABBV
3928981,ABC
12326,ABCB
5119886,ABEO
17339,ABG
21782,ABM
5124919,ABR
3933993,ABT
26795,ABTX
5128887,AC
5129922,ACAD
5133855,ACBI
2281854,ACC
5134910,ACCO
5138535,ACGL
2285710,ACHC
5143568,ACHN
5146882,ACIA
2290723,ACIW
27867,ACLS
2295736,ACM
5147804,ACNB
32731,ACOR
5152837,ACRE
5154776,ACRS
5155849,ACRX
5158092,ACT
5158614,ACTG
5162911,ACV
36197,ADC
5164079,ADES
3939005,ADM
5168099,ADMS
2298905,ADNT
5169548,ADPT
5169685,ADRO
5170880,ADSW
5171701,ADT
41210,ADTN
46223,ADUS
5173533,ADXS
5177172,AE
3944017,AEE
48791,AEGN
53804,AEIS
58817,AEL
2299696,AEO
3949029,AEP
5182205,AERI
3954041,AES
2304709,AFG
5183768,AFH
5185509,AFI
3959053,AFL
5186471,AG
2309722,AGCO
5189773,AGEN
5194786,AGFS
5195905,AGIO
5197534,AGM
5202567,AGNC
5205502,AGO
5209459,AGR
5210482,AGX
62830,AGYS
5215515,AHC
67843,AHH
5218516,AHT
5222639,AI
3964065,AIG
5227672,AIMC
5230961,AIMT
69495,AIN
5232077,AINV
5236026,AIQ
74508,AIR
79521,AIT
3969077,AIV
3974089,AJG
84534,AJRD
5240493,AJX
3979101,AKAM
5241729,AKBA
89547,AKR
94560,AKRX
98910,AKS
5243193,AKTS
5244234,AL
3984113,ALB
5246431,ALC
5246623,ALCO
2314735,ALE
2319748,ALEX
103923,ALG
108936,ALGT
5251656,ALIM
3989125,ALK
5254104,ALKS
5259137,ALLY
5260586,ALNY
5264517,ALO
112193,ALRM
5267821,ALSK
5272854,ALSN
5274823,ALTR
5279856,ALV
5284889,ALX
2321637,AM
113309,AMAG
3993859,AMAT
5289922,AMBA
118322,AMBC
5291746,AMC
2322940,AMCX
3998871,AMD
4003883,AME
2325079,AMED
4008895,AMG
5293272,AMH
5294895,AMKR
119979,AMN
5299928,AMNB
5304961,AMOT
5309994,AMPE
124508,AMPH
5312457,AMRC
5314842,AMRS
5317180,AMSC
125876,AMSF
